2019-09-07 10:18:26,953 [  19972]   INFO - j.ide.ui.OptionsTopHitProvider - 905 ms spent to cache options in project 
2019-09-07 10:18:27,245 [  20264]   INFO - .diagnostic.PerformanceWatcher - Pushing Python language level to 6 roots in 1 SDKs took 3289ms; general responsiveness: ok; EDT responsiveness: 0/4 sluggish, 1/4 very slow 
2019-09-07 10:18:27,805 [  20824]   INFO - tartup.impl.StartupManagerImpl - C:/Users/Gentian/Dropbox/Uni/Programm/Python/ytdownloader/.idea case-sensitivity: expected=false actual=false 
2019-09-07 10:18:27,819 [  20838]   INFO - tellij.diagnostic.LoadingPhase - Reached PROJECT_OPENED loading phase 
2019-09-07 10:18:27,859 [  20878]   INFO -  #git4idea.commands.GitHandler - [.] git version 
2019-09-07 10:18:27,912 [  20931]   INFO - pl.ProjectRootManagerComponent - project roots have changed 
2019-09-07 10:18:28,026 [  21045]   INFO -  #git4idea.commands.GitHandler - git version 2.21.0.windows.1 
2019-09-07 10:18:28,053 [  21072]   INFO - ea.config.GitExecutableManager - Git version for C:\Program Files\Git\cmd\git.exe : 2.21.0 
2019-09-07 10:18:28,147 [  21166]   INFO - tor.impl.FileEditorManagerImpl - Project opening took 7055 ms 
2019-09-07 10:18:28,288 [  21307]   INFO - indexing.UnindexedFilesUpdater - Unindexed files update canceled 
2019-09-07 10:18:28,401 [  21420]   INFO - g.FileBasedIndexProjectHandler - Reindexing refreshed files: 0 to update, calculated in 0ms 
2019-09-07 10:18:28,481 [  21500]   INFO - .diagnostic.PerformanceWatcher - Pushing Python language level to 6 roots in 1 SDKs took 44ms; general responsiveness: ok; EDT responsiveness: ok 
2019-09-07 10:18:28,636 [  21655]   INFO - .diagnostic.PerformanceWatcher - Pushing properties took 132ms; general responsiveness: ok; EDT responsiveness: ok 
2019-09-07 10:18:44,901 [  37920]   WARN - gnostic.WindowsDefenderChecker - Windows Defender DisableRealtimeMonitoring check exited with status -1:  
2019-09-07 10:18:44,929 [  37948]   INFO - ings.impl.UpdateCheckerService - channel: release 
2019-09-07 10:18:45,102 [  38121]   INFO - gnostic.MemorySizeConfigurator - Physical memory 8173M, minimum memory size 128M, -Xmx adjusted from 750M to 1021M 
2019-09-07 10:18:54,686 [  47705]   INFO - mponents.impl.stores.StoreUtil - saveProjectsAndApp took 355 ms 
2019-09-07 10:19:20,706 [  73725]   INFO - .diagnostic.PerformanceWatcher - Indexable file iteration took 52068ms; general responsiveness: ok; EDT responsiveness: 1/52 sluggish 
2019-09-07 10:19:20,715 [  73734]   INFO - indexing.UnindexedFilesUpdater - Unindexed files update started: 10058 files to update 
2019-09-07 10:19:21,272 [  74291]   INFO - ndex.PrebuiltIndexProviderBase - Using prebuilt sdk-stubs from C:\Users\Gentian\.PyCharmCE2019.2\system\index\.persistent\prebuilt\Python\sdk-stubs.input 
